word,vowel,token,type,repetition,freq_f1,amp_f1,width_f1,freq_f2,amp_f2,width_f2,freq_f3,amp_f3,width_f3,freq_h1,amp_h1,freq_h2,amp_h2,amp_h3,amp_p0,freq_p0,p0_id,p0prominence,a1p0_h1,a1p0_h2,a1p0_h3,a1p0,a1p0_compensated,freq_p1,amp_p1,a1p1,a1p1_compensated,a3p0,vwl_amp_rms,vwl_duration,timepoint,point_time,point_vwlpct,attempted_fix,status,errorflag,nasal,oral,nasalance,murmur,cog,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,mfcc13
wind,ih,1,nd,1,431,44.39,76,1453,19.73,362,2646,15.46,124,108,40.74,215,41.42,38.28,41.42,215,H2,1.91,3.65,2.97,6.11452,2.97,5.26815,861,22.55,21.84,23.72363,-25.96394,0.0403252868,83,1,4.764037,0,None,Auto,None,69.4909793364544,71.9533968375484,0.49129545632106,0.979911070592356,375.809741162028,547.046653206395,45.5542838336441,92.3959097589743,-4.97926712608004,29.2792924742281,-23.6905925092785,-63.4235022804981,-7.58264450368962,-17.2625456986419,-8.09516940917523,-0.070992434615098,15.7831404072559,41.6782454227317
wind,ih,1,nd,1,431,39.28,126,1663,17.13,263,2669,13.44,171,108,40.93,215,40.61,36.34,40.93,108,H1,0.32,-1.65,-1.33,2.94285,-1.65,0.40396,861,18.77,20.51,22.32511,-27.4916,0.0403252868,83,2,4.773284,11.11,None,Auto,None,70.4399003757921,70.0694411549667,0.501318272567466,1.00278644848669,202.632385857385,532.904225293693,10.4063216802973,102.596862563414,51.2033758192128,32.1876247033787,-26.056218022145,-54.0448775299777,-34.6951909457487,-3.44734128713328,44.5567296655883,-4.99018913008897,16.6426518042693,25.6684105303976
wind,ih,1,nd,1,409,40.01,128,1951,17.51,284,2633,19.6,180,108,41.71,215,41.13,35.72,41.71,108,H1,0.58,-1.7,-1.12,4.28902,-1.7,0.34799,947,20.31,19.7,21.40626,-22.10904,0.0403252868,83,3,4.782531,22.22,None,Auto,None,70.5556352795214,69.0262462471426,0.505478465455728,1.0218545666818,394.075353901011,564.19062790228,-38.9153363126932,97.7846116617967,45.5280614693321,30.8991022967618,-44.1532539863521,-82.490521388223,-25.7723736783768,4.73205676513166,32.7145205484501,-4.00302344110121,5.17252254196368,-1.65858275167016
wind,ih,1,nd,1,409,39.22,161,2127,17.22,308,2733,15.03,556,108,41.66,215,41.13,35.26,41.66,108,H1,0.52,-2.44,-1.91,3.96466,-2.44,-0.39369,947,20.01,19.21,20.85713,-26.62657,0.0403252868,83,4,4.791778,33.33,None,Auto,None,70.6257782346839,68.7282840019826,0.506808176963936,1.03079904200482,440.913323333542,547.518518298605,-44.1116045884621,120.262246497343,47.5672014215658,20.2631007152821,-51.1004161096055,-84.220702782399,-19.8449909811805,27.5396232109251,29.6218994508094,-8.64130276934115,-8.43088105051515,-19.3551868294495
wind,ih,1,nd,1,431,38.84,123,2145,18.63,254,2825,16.83,325,108,41.72,215,40.94,36.56,41.72,108,H1,0.77,-2.88,-2.1,2.27527,-2.88,-0.83725,947,22.44,16.4,18.11618,-24.89253,0.0403252868,83,5,4.801025,44.44,None,Auto,None,70.7900056372556,68.6302982929676,0.507745311419522,1.03444206784916,480.135820337607,521.702908217136,-40.2676535335195,123.043429517453,60.2239331600885,22.7113001856749,-68.7954584452318,-88.3445568350997,-14.3729643402978,49.6067061478989,0.572710031233997,-5.90322575806837,-2.5047898416902,-21.6730268262348
wind,ih,1,nd,1,431,40.8,202,2271,20.61,351,3043,17.47,567,108,42.02,215,41.76,35.81,42.02,108,H1,0.26,-1.22,-0.96,4.9901,-1.22,0.82087,861,24.56,16.24,18.00579,-24.54684,0.0403252868,83,6,4.810271,55.56,None,Auto,None,70.9985642202565,68.561673173867,0.508730606553455,1.03548648428488,478.188198668587,533.085587589587,-63.6717556749556,136.332860872501,58.2126121735284,-7.87245677317339,-53.240659360781,-86.3429669598406,-4.3772538641333,43.0905308550568,16.7350387586465,-27.5999111390727,-10.5699441046714,-8.74375886735461
wind,ih,1,nd,1,409,39.44,161,2285,15.41,316,3059,15.17,281,108,41.59,215,41.12,35.76,41.59,108,H1,0.47,-2.15,-1.68,3.6798,-2.15,-0.10139,947,17.49,21.95,23.52681,-26.4204,0.0403252868,83,7,4.819518,66.67,None,Auto,None,71.1214962792994,68.3397448460542,0.509973206214137,1.03830678452455,460.811316051331,536.033942989342,-35.2558652069918,135.276586934354,82.1879636283987,-9.29490689408713,-60.6578237219062,-84.252245705975,-12.6268431290862,42.0449242170132,15.3577794649995,-17.6127121295054,-20.6333790998178,-1.45024853906065
wind,ih,1,nd,1,431,41.04,219,2315,17.66,302,3101,14.73,258,108,41.8,215,42.07,36.67,42.07,215,H2,2.83,-0.76,-1.03,4.37291,-1.03,1.17599,861,22.34,18.7,20.32529,-27.34399,0.0403252868,83,8,4.828765,77.78,None,Auto,None,71.2841363420247,68.0168746038161,0.511727343958325,1.041872853811,450.68428422164,543.81038002513,-29.9536843531976,124.802564378973,74.9613977780518,-19.2377239239159,-48.2000052011865,-68.3361019021201,-16.5413258401269,47.0104490576925,11.2239323595291,-38.8828911943851,-13.8796047852204,8.13924591851544
wind,ih,1,nd,1,409,39.99,163,2211,14.84,267,3056,13.75,166,108,41.45,215,41.11,36.48,41.45,108,H1,0.34,-1.46,-1.12,3.51079,-1.46,0.59233,947,19.32,20.67,22.22788,-27.70143,0.0403252868,83,9,4.838012,88.89,None,Auto,None,71.7861540299552,67.3943984852816,0.515777188210949,1.05251491269004,216.747071663034,551.139366144916,-9.35143899465687,130.470163743466,85.3957835023702,-15.9180900323464,-36.451254845609,-59.2705125354649,-14.2334275786628,46.0662836835451,15.035845361364,-27.3632428061333,-32.3951844265127,3.89737911846749
wind,ih,1,nd,1,194,42.03,181,1523,10.34,1222,2571,9.1,851,108,42.14,194,42.03,37.74,42.14,108,H1,0.1,-0.11,0,4.28751,-0.11,1.97922,1012,14.29,27.74,29.17426,-33.04148,0.0403252868,83,10,4.847259,100,None,Auto,None,73.2276412567086,66.0088468694475,0.525922782470355,1.08130001558484,199.290029283841,586.868690728908,41.1442279940856,84.5040425177772,99.1895337557231,-15.4403323135146,-28.0378702173481,-50.2610643408651,-11.9859569439478,36.8574490784862,15.5061885190242,-18.5252400762756,-56.0440862041665,1.31331396067219
pat,ae,2,oral,1,1443,-37.06,425,2513,-39.14,539,3154,-39.07,478,98,12.37,194,-23.87,-27.79,12.37,98,H1,36.24,-49.43,-13.19,-9.27456,-49.43,-47.42412,991,-35.33,-1.73,1.20642,-51.44303,0.0304112566,198,1,6.439804,0,HighF1Corrected,Auto,LoPitch,46.9107200616815,67.7979492627573,0.408955315565561,0.974692362741589,312.061558078237,557.499804113776,-22.6802404088346,3.5022742994522,-10.9268298085412,-35.5765020730136,31.1860634065444,-8.22847524515326,-33.347705770999,39.1314492055033,35.1292218347402,1.44097184700363,5.8166555329272,36.3169909537584
pat,ae,2,oral,1,754,39.27,98,1716,26.28,389,2110,17.48,1603,108,35.21,215,33.2,26.09,35.21,108,H1,2.01,4.06,6.07,13.17514,4.06,6.08675,969,25.67,13.6,16.22252,-17.73475,0.0304112566,198,2,6.461833,11.11,None,Auto,None,50.0554876643679,71.4345852803231,0.412012985514923,0.927725830037304,658.331363358442,584.700731191409,-106.528618189587,-3.81337605091939,-8.5066981460848,-17.7956222166198,24.3294635085402,-40.8549746155577,-34.0327836263454,52.2967037562687,32.573556239874,11.5324182531733,-1.85490155232204,25.9531767400626
